Id,time
0,-2.102693076
1,2.152908811
2,5.825027153
3,2.127395558
4,3.96332339
5,0.534698376
6,4.266146346
7,-3.457160552
8,-4.334885461
9,3.958290364
10,6.183714945
11,-0.19245535
12,2.590097084
13,-1.789691096
14,6.29336018
15,3.348407916
16,-0.604568313
17,6.360178468
18,2.881555236
19,2.159853462
20,4.772906685
21,-0.682186348
22,4.510801117
23,1.764338611
24,2.10106205
25,0.950723037
26,7.057086
27,4.816822205
28,3.170893439
29,0.570197584
30,5.450093402
31,1.488076612
32,5.993728771
33,5.529648152
34,10.40276171
35,-0.071244822
36,4.87972622
37,1.665755317
38,-1.771158574
39,6.742423936
40,5.192685046
41,0.541255196
42,3.852102467
43,-1.112825294
44,0.838159204
45,7.810617036
46,6.822226761
47,2.671860728
48,9.673716681
49,2.739352888
50,3.301775236
51,2.985034404
52,3.455306723
53,5.865437819
54,4.279005778
55,7.506331537
56,4.2581124
57,8.834005923
58,1.074047583
59,0.472869043
60,3.128033972
61,0.536334586
62,4.739678692
63,1.820390426
64,-1.300715159
65,8.626576576
66,1.633952434
67,0.687760238
68,0.29790016
69,0.714417524
70,6.51349766
71,1.36471209
72,3.472651077
73,-1.148965232
74,5.681518885
75,3.317498256
76,3.044448311
77,-1.842190817
78,0.185666455
79,-1.737450395
80,-2.29667648
81,3.721918973
82,1.73075615
83,5.319735682
84,-0.975552456
85,9.38197554
86,4.077083653
87,0.837397781
88,0.789260781
89,-2.266754819
90,2.578473885
91,0.707444502
92,5.778982673
93,4.768462239
94,-0.130814549
95,-0.357061287
96,7.839196079
97,8.438895707
98,1.218513007
99,-0.376036468
