,time
0,-150957545855259.84
1,-154569725322739.2
2,-148926260284573.97
3,-100044771420595.72
4,-147460924298975.16
5,-68131645278049.02
6,-159523296736430.44
7,-71487483345807.48
8,-73271628624500.92
9,-116375433414219.14
10,-161783255357198.03
11,-75989894753541.89
12,-110325513500659.44
13,-73975399616598.42
14,-168246961637996.66
15,-165807253056262.72
16,-133000580601155.5
17,-141711651732817.3
18,-78795614825780.11
19,-70098485648026.945
20,-144356416927249.53
21,-84360152284677.25
22,-170995658151447.16
23,-102867829435812.72
24,-92782550531493.17
25,-148295115011320.97
26,-187018200416044.06
27,-184334227993763.2
28,-102333579742711.6
29,-112550113126568.86
30,-204750794747888.78
31,-127002664658502.73
32,-164171307311821.75
33,-117062730292886.98
34,-182379092383275.78
35,-222720812449865.88
36,-170346770344406.2
37,-126052460601483.72
38,-94153894659688.48
39,-78387996079540.23
40,-181919352974169.44
41,-87395883011566.0
42,-153527193397914.8
43,-73588989354238.73
44,-96967145719030.53
45,-141742409157863.75
46,-145157783841929.72
47,-135062682441442.83
48,-199952458354460.2
49,-142349251308378.94
50,-146131287248037.78
51,-174599689874101.66
52,-217442409093693.1
53,-112818075747068.03
54,-171753471656478.28
55,-80237638587630.58
56,-177540654551160.84
57,-224876950540582.5
58,-176018773967454.44
59,-94290301513513.28
60,-162692642994518.66
61,-108473338245290.5
62,-181614898001028.72
63,-79790532657641.11
64,-62147621463453.67
65,-164968430020776.9
66,-123650552926940.7
67,-212754806917350.53
68,-82452798628541.86
69,-127414979889726.77
70,-138093930299775.05
71,-171810405537352.53
72,-99478008476050.05
73,-147916893706150.47
74,-135037193126138.98
75,-161961698045910.84
76,-178192720600965.78
77,-90594774423076.64
78,-102397225716469.08
79,-139429317546129.64
80,-120828949447909.05
81,-156742841756751.06
82,-134511794666841.02
83,-170858728609547.8
84,-142167373246659.66
85,-185568561304765.3
86,-154525781286639.9
87,-67793015944114.93
88,-188236461992247.88
89,-112432710506959.08
90,-79770321912771.03
91,-131636802425565.23
92,-192843640577524.22
93,-102215203075267.92
94,-79691463320306.66
95,-61674469683316.45
96,-159509740657953.84
97,-148520753057723.62
98,-51028003630813.77
99,-147169561467937.1
