,time
0,2.8965383
1,5.466019
2,3.3249817
3,1.0010532
4,0.40419853
5,1.0392833
6,4.0761075
7,0.6558413
8,1.9719948
9,5.6859593
10,1.6451287
11,4.227385
12,3.0565677
13,2.4818883
14,2.9372225
15,1.0975553
16,4.2009177
17,1.7187119
18,3.8076162
19,5.704943
20,1.4471081
21,1.713798
22,3.5704386
23,3.8165724
24,1.5807683
25,2.18928
26,0.9577961
27,2.6674345
28,0.6654108
29,5.232139
30,2.232678
31,4.676109
32,3.0514016
33,4.7648454
34,3.3765907
35,2.9696755
36,3.9315302
37,4.034004
38,4.1515384
39,2.4054384
40,2.2033777
41,4.060211
42,3.5263145
43,1.7559321
44,3.9877799
45,3.0822062
46,2.3862529
47,1.3683923
48,1.1446241
49,0.764222
50,3.3791294
51,4.2322984
52,4.3626027
53,2.1916125
54,4.6504407
55,4.384214
56,1.765112
57,5.3957515
58,4.6519246
59,1.0329722
60,0.435771
61,1.0585568
62,5.750796
63,4.4737096
64,4.7534366
65,6.1505733
66,5.2779694
67,0.608146
68,0.9057463
69,1.0407189
70,4.840938
71,1.641071
72,0.7984645
73,3.925199
74,6.22448
75,1.4600555
76,5.32175
77,2.9138598
78,0.50850457
79,0.45445994
80,4.4842343
81,3.834889
82,1.2517244
83,2.8712187
84,4.461575
85,3.4058619
86,3.1922417
87,4.2589374
88,2.0406525
89,0.64295256
90,1.2383864
91,0.77473587
92,4.7494907
93,2.2038922
94,1.2540852
95,4.616926
96,2.230132
97,3.4362907
98,3.9888666
99,0.86149293
