Id,time
0,-0.505801929
1,19.01901159
2,8.07643574
3,-1.18265169
4,-4.53310771
5,3.707632377
6,1.999124896
7,19.83601383
8,-3.773981059
9,5.132227885
10,-5.621250613
11,1.270656741
12,-1.867627824
13,11.00794616
14,9.230419156
15,-1.319840218
16,-1.019580427
17,-1.091359538
18,-0.164093166
19,-0.47990551
20,6.311030478
21,9.121970814
22,-0.58436204
23,-8.64550699
24,-2.081662422
25,-10.07459234
26,3.016471603
27,-10.47809923
28,-11.05051678
29,0.144914076
30,11.02003058
31,-0.241133967
32,2.841806609
33,16.31257284
34,19.44763385
35,29.29223541
36,2.327143339
37,-2.657652738
38,-2.09377314
39,-11.59537211
40,6.138733147
41,-7.396637342
42,6.842441462
43,13.57562056
44,0.797479465
45,14.76373076
46,3.83584627
47,11.67342809
48,16.57720354
49,4.685439639
50,6.762017847
51,-1.36782069
52,17.00996756
53,7.044773351
54,5.393404033
55,16.81758651
56,3.094805028
57,18.18230822
58,-5.549379586
59,3.545215022
60,5.733622765
61,-0.382880939
62,10.43845678
63,1.309637714
64,1.023004321
65,11.72326305
66,0.877540429
67,18.53273186
68,-0.762981411
69,3.592742994
70,-5.011727517
71,2.437082614
72,3.727013602
73,1.956044496
74,-1.230788889
75,3.168436308
76,5.918161405
77,-0.828450388
78,0.022781815
79,-3.162917382
80,7.28860905
81,-1.302524622
82,-7.629688777
83,-7.314340644
84,10.20600755
85,7.210250087
86,8.502990339
87,-7.011328372
88,10.35498101
89,3.688995533
90,1.611758593
91,15.93916686
92,7.302386939
93,3.803147367
94,-2.816352471
95,0.300969853
96,13.97686881
97,4.528688672
98,-9.362339261
99,0.041765807
