Id,time
0,0.929069245
1,2.896330047
2,3.758007622
3,1.223717213
4,2.492981672
5,0.325834605
6,5.807849717
7,0.55466845
8,0.137723699
9,2.381018686
10,2.950157475
11,0.927069616
12,2.469605947
13,1.433987376
14,5.611632919
15,5.840100861
16,0.408411574
17,5.130648661
18,2.751612782
19,0.733055925
20,3.816354227
21,1.644127607
22,5.183917284
23,1.815198624
24,1.293881806
25,1.643532157
26,10.65285397
27,7.157825112
28,2.341896629
29,0.71825486
30,8.827883124
31,1.520201707
32,2.790766525
33,11.51548736
34,11.32348804
35,3.311682844
36,1.892413012
37,1.580128227
38,0.738807487
39,6.459748101
40,7.735169077
41,2.171859527
42,3.158100748
43,0.948610902
44,0.734220839
45,4.461844945
46,5.368866062
47,2.377565432
48,5.625585675
49,3.067913985
50,1.348940277
51,3.216982889
52,0.614659834
53,4.516778135
54,5.096684933
55,8.662046003
56,1.173197198
57,7.202590775
58,3.316520158
59,1.087941074
60,1.190452361
61,1.635760808
62,4.248707986
63,1.142425323
64,0.618987131
65,5.999466348
66,1.137228942
67,7.214963245
68,0.297261345
69,1.644084597
70,12.42045145
71,0.820235966
72,4.970896435
73,0.531610775
74,3.199132228
75,2.230776119
76,0.616699616
77,0.690498567
78,1.177185392
79,0.652744294
80,0.854897366
81,2.138834786
82,1.727830275
83,1.10331533
84,0.331630244
85,7.326258397
86,3.838242817
87,2.577836204
88,0.687434185
89,0.330292001
90,1.006062722
91,4.512960839
92,5.354161429
93,1.367077518
94,0.451853919
95,0.605643082
96,5.044551444
97,2.036215115
98,1.565577674
99,0.504018966
