,time
0,2.003148518936909
1,2.097903422798904
2,2.2137398192581776
3,2.102022296631734
4,2.134716182331049
5,2.0670764615221286
6,2.1953021317036985
7,1.9572330580683834
8,1.970037371249052
9,2.164767703805068
10,2.1790884143708746
11,2.100482587774061
12,2.1115616933242234
13,2.0208624211887973
14,2.203031712169534
15,2.1244473657567813
16,2.051937644802693
17,2.221335553321002
18,2.1648405890227815
19,2.0959724916759517
20,2.2090995933411395
21,2.0241911437381623
22,2.151486046985541
23,2.11028960434327
24,2.123769468914094
25,2.0816733247012063
26,2.234216434017703
27,2.1710053274814194
28,2.143522627038912
29,2.1046981064358614
30,2.1978004865938856
31,2.1305040807527362
32,2.2412458667049315
33,2.1950567597076978
34,2.3225597996606755
35,2.026697693295261
36,2.1814299804124246
37,2.1089925404678525
38,2.051934080198766
39,2.2416873103038295
40,2.2087530437801797
41,2.0503392962385285
42,2.1792159707203873
43,1.9931498198808122
44,2.0960827540419094
45,2.2736443144686325
46,2.245033222106991
47,2.1170996382637286
48,2.3056850029444
49,2.148542769849689
50,2.1788602826483374
51,2.1236320104956206
52,2.1355002894506403
53,2.2256442767747013
54,2.159029582856063
55,2.261724344398723
56,2.1550507074864464
57,2.3008792666528177
58,2.092871430630384
59,2.1191745570928036
60,2.101616071595921
61,2.056674259214006
62,2.1853618499774794
63,2.1235482005189636
64,2.054405529314307
65,2.254705053823803
66,2.0772674351051306
67,2.0829691922018356
68,2.0628234552341165
69,2.0886875502477857
70,2.2041368263423244
71,2.0828025213135968
72,2.1445383338701323
73,2.0256005728718445
74,2.2173952359617726
75,2.1455511096143773
76,2.1152828987644203
77,2.0392279138390967
78,2.0548614002905405
79,2.0366280281122617
80,2.0123064371123234
81,2.126389692197008
82,2.1055737143105673
83,2.175088369849091
84,2.0400621360294444
85,2.3006889089628504
86,2.164818141323681
87,2.084415945411936
88,2.1076515692673885
89,1.9946269245827313
90,2.1465261715655912
91,2.0862152862076018
92,2.208671993912417
93,2.1858066386759094
94,2.084579098664849
95,2.0914830215938065
96,2.249741236060008
97,2.2604323920437683
98,2.069004802365679
99,2.0299262864218766
