,time
0,0.8748641983757883
1,30.874990507252257
2,1.6483541570665494
3,-2.602455954746759
4,-2.5415427183265127
5,6.485944567068897
6,0.15488342409885547
7,55.20056018595932
8,0.033006955874837374
9,1.4296693298213015
10,-5.1984174805246095
11,1.5342377595625205
12,19.466846391678082
13,33.047683576930865
14,3.49843531157683
15,1.1424616344090488
16,-2.440407870191664
17,-9.455662941886125
18,4.342970307279192
19,0.6939081076564761
20,9.567327948513496
21,44.83102917045181
22,16.500968227184913
23,1.5449231702970323
24,0.4907326354685111
25,-2.339372223213239
26,3.6654031700572016
27,-8.45211105113389
28,-6.620006269349274
29,-1.6241071205559887
30,25.862752916898955
31,-11.336157178428582
32,17.79768776812551
33,9.987870641334876
34,11.134484613827452
35,61.8967014847061
36,5.017862515401596
37,0.8247698362753901
38,-1.0889755837578123
39,-18.170412514425045
40,10.908455933122054
41,30.827319295098945
42,15.798837658833108
43,37.49464323290336
44,-0.5825497312201184
45,7.544502604055488
46,4.370531297742287
47,22.4648136162183
48,10.760933863618583
49,8.704960891063767
50,2.3017396538561945
51,-4.840683701125279
52,11.378487395577977
53,7.998611392515311
54,5.119479781972677
55,7.227805656086607
56,0.7405879293318183
57,17.990025530946834
58,1.0175972682982444
59,7.163417978354602
60,31.388613434019135
61,3.7840632905454346
62,10.073263428536766
63,-2.9347523433646012
64,-1.0745154724976045
65,10.68909792898965
66,4.4021454546300784
67,39.02957130394612
68,2.2824531492725226
69,0.8548802260544655
70,8.239515977369848
71,0.001271590963701108
72,23.801462899766946
73,2.1635890259951616
74,11.48530157300997
75,3.834076231365719
76,-0.5187158706002108
77,-1.3367171184268156
78,1.0239077219721588
79,-3.2058993387955894
80,3.286932980961476
81,2.3971842244435644
82,-0.18863151371850506
83,-6.451261419562105
84,-0.3850698794191998
85,10.322783955077224
86,9.70195311928864
87,-1.2585922964187217
88,5.266558010326335
89,2.4362971383907777
90,-1.0455990172359382
91,5.237039852071174
92,7.407271404316994
93,-0.08544637451745807
94,-2.8756967980312047
95,9.481308928121237
96,16.478713777646078
97,3.15309637832404
98,-4.743500388678135
99,-3.458674768723815
